в классе единственность
свойствами обладает наилучшие
правдоподобия имеет вид
здесь не знаем
обеспечивается теоремой теорема
б если верна
збч при вспомним
после чего строят
критерий критерий стьюдента
не часа пик
имеющие одинаковое смещение
она отличается от
тогда для любого
уровня стандартного нормального
при вероятность ошибки
теоретическую вероятность попадания
мы видели что
а математическая статистика
подхода если определение
от корня пятой
бессмысленно это вся
воспользуемся цпт ляпунова
главы в качестве
при рассмотрим и
предположение пусть ненулевые
функция потерь потери
понятно что при
правдоподобия имеет вид
полученная по методу
регулярное семейство рассмотрим
что и независимы
или плотности является
ошибки критерия в
определение ошибку го
неравенством рао крамера
говорят что критерий
оценок в задаче
распределения приведенной на
задачу и пример
рода не меньше
распределение с параметром
разберем два примера
приведенные ниже методы
замечание полезно сравнить
доказана из свойств
следующий пример как
этом случае при
что есть функция
рассмотрим критерий следующего
оценка эффективна поскольку
сходится к распределению
дискретны либо оба
группированными данными приведем
с коэффициентом говорят
эмпирической функцией распределения
и состоятельная так
имеет место поточечная
в лемме обе
оценок наилучшая в
совместной плотностью выборки
и решек при
омп параметра равномерного
равен где некоторая
ответить почему состоятельная
верна вероятностью ошибки
последовательность состоит из
навеки все вектора
справедливо следующее утверждение
выборке тогда при
предписывает на отрезке
через класс оценок
равны если второго
введем эмпирические выборочные
напоминаю что когда
семейство распределений удовлетворяет
у величины больших
из гипотез наудачу
байесовского подхода иначе
выборке сделать вывод
применим лемму мы
с коэффициентом доказательство
термин регрессия появился
нерешенными следующие проблемы
решение нормального уравнения
не будем поскольку
объема из параметрического
в качестве функции
которое нам частично
функцию или ее
любой другой оценки
наблюдений или гипотеза
отражающая суть дела
от значений определяется
равномерного распределения вопросы
или ее корень
и левого столбцов
литель и знаменатель
удовлетворяет условиям регулярности
родителей и установил
альтернатив по всем
маленькую средневзвешенную ошибку
напоминаю что все
гипотез о распределении
примере критерий является
области то под
задачу к главе
можно например по
сравнивать не отклонения
выборки в раза
одинаковых условиях мы
при этом впрочем
предположения о распределении
методом моментов и
последнее равносильно разбиению
объема из распределения
общая площадь всех
больше предельная дисперсия
и критерий принять
один разумный способ
правдоподобия только критерий
разрешив неравенство замечание
свойство асимптотической нормальности
асимптотический ди уровня
распределение целиком определяется
соответствующие гипотезам и
заданного критерия можно
альтернатив все критерии
выполнить все упражнения
сразу ответит нет
совпадают доказательство теоремы
худой конец из
сделать числовыми результатов
известно какие из
убедиться в том
с ростом гистограмма
если мы построили
обычно рассматривают оценки
мы получим новый
ковариаций вектора элементы
распределена величина для
гипотезой иначе если
вероятности попадания пары
критерий является критерием
методу моментов причем
распределения связанные с
различения этих гипотез
непрерывности последней не
от ошибочного решения
и что показывает
максимального правдоподобия найдем
той же выборки
полученные методом моментов
для матрица ковариаций
фишера вынести за
же значения что
соображений чем больше
системы уравнений является
имеет уровень и
которые потом соберем
как додуматься до
причем есть две
ли фраза выбо
называется функция переменного
функцию или ее
математическая статистика ч
ближайшую к точку
от параметра статистика
рассматривается модель в
ошибок см задачу
эмпирической функции распределения
подхода то есть
оценок несмещенность по
дисперсию оценки сравнивая
распределение стьюдента доказательство
асимптотического уровня но
распределения пуассона где
имеем оптимальный выбор
характеризует степень линейной
любой статистики которой
пуассона и опять
параметром пусть параметр
имеются две гипотезы
вид если с
в интервале впрочем
то собственному распределению
раскрыв скобки полезно
частота попадания в
интервал бесконечной длины
функция от так
