он благополучно избегнул
встречи с своею
хозяйкой на лестнице
каморка его приходилась
под самою кровлей
высокого пятиэтажного дома
и походила более
на шкаф чем
на квартиру квартирная
же хозяйка его
у которой он
нанимал эту каморку
с обедом и
прислугой помещалась одною
лестницей ниже в
отдельной квартире и
каждый раз при
выходе на улицу
ему непременно надо
было проходить мимо
хозяйкиной кухни почти
всегда настежь отворенной
на лестницу и
каждый раз молодой
человек проходя мимо
чувствовал какоето болезненное
и трусливое ощущение
которого стыдился и
от которого морщился
он был должен
кругом хозяйке и
боялся с нею
встретитьсяне то чтоб
он был так
труслив и забит
совсем даже напротив
но с некоторого
времени он был
в раздражительном и
напряженном состоянии похожем
на ипохондрию он
до того углубился
в себя и
уединился от всех
что боялся даже
всякой встречи не
только встречи с
хозяйкой он был
задавлен бедностью но
даже стесненное положение
перестало в последнее
время тяготить его
насущными делами своими
он совсем перестал
и не хотел
заниматься никакой хозяйки
в сущности он
не боялся что
бы та ни
замышляла против него
но останавливаться на
лестнице слушать всякий
вздор про всю
эту обыденную дребедень
до которой ему
нет никакого дела
все эти приставания
о платеже угрозы
жалобы и при
этом самому изворачиваться
извиняться лгать нет
уж лучше проскользнуть
какнибудь кошкой по
лестнице и улизнуть
чтобы никто не
видалвпрочем на этот
раз страх встречи
с своею кредиторшей
даже его самого
поразил по выходе
на улицуна какое
дело хочу покуситься
и в то
же время каких
пустяков боюсь подумал
он с странною
улыбкой гм да
вс в руках
человека и всто
он мимо носу
проносит единственно от
одной трусости это
уж аксиома любопытно
чего люди больше
всего боятся нового
шага нового собственного
слова они всего
больше боятся а
впрочем я слишком
много болтаю оттого
и ничего не
делаю что болтаю
пожалуй впрочем и
так оттого болтаю
что ничего не
делаю это я
в этот последний
месяц выучился болтать
лежа по целым
суткам в углу
и думая о
царе горохе ну
зачем я теперь
иду разве я
способен на это
разве это серьезно
совсем не серьезно
так ради фантазии
сам себя тешу
игрушки да пожалуй
что и игрушкина
улице жара стояла
страшная к тому
же духота толкотня
всюду известка леса
кирпич пыль и
та особенная летняя
вонь столь известная
каждому петербуржцу не
имеющему возможности нанять
дачу вс это
разом неприятно потрясло
и без того
уже расстроенные нервы
юноши нестерпимая же
вонь из распивочных
которых в этой
части города особенное
множество и пьяные
поминутно попадавшиеся несмотря
на буднее время
довершили отвратительный и
грустный колорит картины
чувство глубочайшего омерзения
мелькнуло на миг
в тонких чертах
молодого человека кстати
он был замечательно
хорош собою с
прекрасными темными глазами
темнорус ростом выше
среднего тонок и
строен но скоро
он впал как
бы в глубокую
задумчивость даже вернее
сказать как бы
в какоето забытье
и пошел уже
не замечая окружающего
да и не
желая его замечать
изредка только бормотал
он чтото про
себя от своей
привычки к монологам
в которой он
сейчас сам себе
признался в эту
же минуту он
и сам сознавал
что мысли его
порою мешаются и
что он очень
слаб второй день
как уж он
почти совсем ничего
не елон был
до того худо
одет что иной
даже и привычный
человек посовестился бы
днем выходить в
таких лохмотьях на
улицу впрочем квартал
был таков что
костюмом здесь было
трудно когонибудь удивить
близость сенной обилие
известных заведений и
по преимуществу цеховое
и ремесленное население
скученное в этих
серединных петербургских улицах
и переулках пестрили
иногда общую панораму
такими субъектами что
странно было бы
и удивляться при
встрече с иною
